
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;
0,037052;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0858;0,0279;−0,0376;
0,097072;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;−0,0089;−0,1871;0,0082;
0,097695;0,0000;0,0000;0,0000;−6,7458;3,0130;−4,2359;−0,0089;−0,1871;0,0082;
0,148823;0,0000;0,0000;0,0000;−6,7458;3,0130;−4,2359;0,2569;0,0884;−0,0621;
0,149534;0,0000;0,0000;0,0000;−6,7754;2,9833;−4,2238;0,2569;0,0884;−0,0621;
0,211384;0,0000;0,0000;0,0000;−6,7754;2,9833;−4,2238;0,0266;0,0194;−0,0260;
0,212211;0,0000;0,0000;0,0000;−6,7186;2,8904;−4,1845;0,0266;0,0194;−0,0260;
0,269564;−0,0120;0,3454;0,9220;−6,7186;2,8904;−4,1845;0,0266;0,0194;−0,0260;
0,270439;−0,0120;0,3454;0,9220;−6,7186;2,8904;−4,1845;−0,0021;−0,0350;0,0387;
0,270962;−0,0120;0,3454;0,9220;−0,0832;−0,4090;−0,0068;−0,0021;−0,0350;0,0387;
0,336956;−0,0086;0,3359;0,9558;−0,0832;−0,4090;−0,0068;−0,0021;−0,0350;0,0387;
0,337781;−0,0086;0,3359;0,9558;−0,0832;−0,4090;−0,0068;0,0822;0,0945;0,0271;
0,338379;−0,0086;0,3359;0,9558;−0,0228;−0,5182;0,3304;0,0822;0,0945;0,0271;
0,389100;0,0005;0,3181;0,9509;−0,0228;−0,5182;0,3304;0,0822;0,0945;0,0271;
0,389888;0,0005;0,3181;0,9509;−0,0228;−0,5182;0,3304;−0,0168;0,0005;0,0021;
0,390440;0,0005;0,3181;0,9509;0,0708;−0,6607;0,2690;−0,0168;0,0005;0,0021;
0,453007;−0,0213;0,3359;0,9558;0,0708;−0,6607;0,2690;−0,0168;0,0005;0,0021;
0,453777;−0,0213;0,3359;0,9558;0,0708;−0,6607;0,2690;0,0394;0,0310;−0,0040;
0,454425;−0,0213;0,3359;0,9558;−0,1223;−0,4768;0,3133;0,0394;0,0310;−0,0040;
0,509242;−0,0161;0,3288;0,9575;−0,1223;−0,4768;0,3133;0,0394;0,0310;−0,0040;
0,510136;−0,0161;0,3288;0,9575;−0,1223;−0,4768;0,3133;0,0125;−0,0472;−0,0047;
0,510720;−0,0161;0,3288;0,9575;−0,0657;−0,4138;0,2761;0,0125;−0,0472;−0,0047;
0,579769;−0,0161;0,3288;0,9575;−0,0657;−0,4138;0,2761;−0,0089;−0,0893;−0,0340;
0,580954;−0,0161;0,3288;0,9575;−0,0627;−0,3240;0,2408;−0,0089;−0,0893;−0,0340;
0,581960;−0,0120;0,3393;0,9509;−0,0627;−0,3240;0,2408;−0,0089;−0,0893;−0,0340;
0,630447;−0,0227;0,3564;0,9396;−0,0627;−0,3240;0,2408;−0,0089;−0,0893;−0,0340;
0,631355;−0,0227;0,3564;0,9396;−0,0627;−0,3240;0,2408;0,0510;0,0243;−0,0040;
0,631917;−0,0227;0,3564;0,9396;−0,1301;−0,0205;0,0533;0,0510;0,0243;−0,0040;
0,696860;−0,0308;0,3518;0,9843;−0,1301;−0,0205;0,0533;0,0510;0,0243;−0,0040;
0,697740;−0,0308;0,3518;0,9843;−0,1301;−0,0205;0,0533;0,1097;−0,0050;0,0069;
0,698455;−0,0308;0,3518;0,9843;−0,1724;−0,0844;0,4990;0,1097;−0,0050;0,0069;
0,752154;−0,0137;0,3699;0,9313;−0,1724;−0,0844;0,4990;0,1097;−0,0050;0,0069;
0,753052;−0,0137;0,3699;0,9313;−0,1724;−0,0844;0,4990;0,1078;0,0273;0,0088;
0,753652;−0,0137;0,3699;0,9313;−0,0027;0,0755;−0,0139;0,1078;0,0273;0,0088;
